province;product_types;currency;product_group_id;product_line;value;date
OPOLE;apple juice, boxed - per 1l;PLN;1.0;;0.0;2003-6
MASOVIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;25.88;2011-7
WEST POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2014-8
GREATER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;2.24;2000-10
POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;1.69;2019-7
LUBLIN;;PLN;2.0;dressed chickens - per 1kg;7.32;2016-3
WARMIA-MASURIA;apple juice, boxed - per 1l;PLN;1.0;;0.0;2017-4
WEST POMERANIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;24.03;2009-11
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2002-8
ŁÓDŹ;apple juice, boxed - per 1l;PLN;1.0;;0.0;2014-9
HOLY CROSS;;PLN;2.0;Italian head cheese - per 1kg;9.04;2012-4
LOWER SILESIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;3.02;2006-12
KUYAVIA-POMERANIA;;PLN;2.0;dressed chickens - per 1kg;5.74;2017-10
LUBUSZ;;PLN;2.0;pork  meat (raw bacon) - per 1kg;9.1;2002-10
SUBCARPATHIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.21;2012-12
SUBCARPATHIA;;PLN;2.0;Italian head cheese - per 1kg;7.69;2008-2
PODLASKIE;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.45;2010-11
POMERANIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.36;2019-9
KUYAVIA-POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;1999-1
LUBLIN;;PLN;2.0;barley groats sausage - per 1kg;7.62;2013-10
LUBLIN;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2006-4
LUBLIN;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.79;1999-11
HOLY CROSS;;PLN;4.0;Masurian barley groats - per 1kg;1.54;2000-8
LUBLIN;;PLN;2.0;pork ham cooked - per 1kg;15.57;2004-4
LESSER POLAND;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2003-3
MASOVIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2015-5
SILESIA;;PLN;2.0;haddock fillets frozen - per 1kg;18.77;2017-11
ŁÓDŹ;;PLN;2.0;Hunter's sausage dried - per 1kg;19.68;2012-3
POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.28;2019-4
SUBCARPATHIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;32.64;2018-7
GREATER POLAND;;PLN;2.0;Hunter's sausage dried - per 1kg;15.8;1999-4
KUYAVIA-POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;16.87;2019-12
SUBCARPATHIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;11.43;2016-6
